2026-07-03 10:15:57.214 [main] INFO  com.example.EndProjectApplication-Starting EndProjectApplication using Java 23.0.2 with PID 39404 (D:\study\Spring实训大作业\web-end-project\end-project\target\classes started by ssfeng in D:\study\Spring实训大作业\web-end-project\end-project)
2026-07-03 10:17:49.465 [http-nio-8080-exec-3] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.469 [http-nio-8080-exec-4] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.479 [http-nio-8080-exec-5] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.490 [http-nio-8080-exec-7] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.500 [http-nio-8080-exec-8] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.504 [http-nio-8080-exec-6] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.516 [http-nio-8080-exec-9] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.527 [http-nio-8080-exec-10] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.538 [http-nio-8080-exec-1] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.542 [http-nio-8080-exec-2] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.552 [http-nio-8080-exec-3] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.563 [http-nio-8080-exec-4] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.575 [http-nio-8080-exec-5] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.580 [http-nio-8080-exec-7] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.591 [http-nio-8080-exec-8] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.603 [http-nio-8080-exec-6] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.614 [http-nio-8080-exec-9] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.619 [http-nio-8080-exec-10] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.631 [http-nio-8080-exec-1] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.643 [http-nio-8080-exec-2] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.655 [http-nio-8080-exec-3] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.660 [http-nio-8080-exec-4] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.671 [http-nio-8080-exec-5] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.683 [http-nio-8080-exec-7] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.694 [http-nio-8080-exec-8] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.699 [http-nio-8080-exec-6] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.710 [http-nio-8080-exec-9] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.722 [http-nio-8080-exec-10] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.733 [http-nio-8080-exec-1] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.738 [http-nio-8080-exec-2] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.750 [http-nio-8080-exec-3] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.762 [http-nio-8080-exec-4] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.773 [http-nio-8080-exec-5] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.784 [http-nio-8080-exec-7] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.791 [http-nio-8080-exec-8] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.805 [http-nio-8080-exec-6] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.817 [http-nio-8080-exec-9] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.837 [http-nio-8080-exec-10] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.842 [http-nio-8080-exec-1] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.855 [http-nio-8080-exec-2] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.861 [http-nio-8080-exec-3] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.875 [http-nio-8080-exec-4] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.880 [http-nio-8080-exec-5] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.893 [http-nio-8080-exec-7] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.906 [http-nio-8080-exec-8] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.917 [http-nio-8080-exec-6] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.923 [http-nio-8080-exec-9] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.936 [http-nio-8080-exec-10] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.951 [http-nio-8080-exec-1] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.964 [http-nio-8080-exec-2] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.971 [http-nio-8080-exec-3] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:49.987 [http-nio-8080-exec-4] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.000 [http-nio-8080-exec-5] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.014 [http-nio-8080-exec-7] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.021 [http-nio-8080-exec-8] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.033 [http-nio-8080-exec-6] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.045 [http-nio-8080-exec-9] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.070 [http-nio-8080-exec-10] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.081 [http-nio-8080-exec-1] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.094 [http-nio-8080-exec-2] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.107 [http-nio-8080-exec-3] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.120 [http-nio-8080-exec-4] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.132 [http-nio-8080-exec-5] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.144 [http-nio-8080-exec-7] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.149 [http-nio-8080-exec-8] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.163 [http-nio-8080-exec-6] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.177 [http-nio-8080-exec-9] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.196 [http-nio-8080-exec-10] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.213 [http-nio-8080-exec-1] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.228 [http-nio-8080-exec-2] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.240 [http-nio-8080-exec-3] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.252 [http-nio-8080-exec-4] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.264 [http-nio-8080-exec-5] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.277 [http-nio-8080-exec-7] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.289 [http-nio-8080-exec-8] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.297 [http-nio-8080-exec-6] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.315 [http-nio-8080-exec-9] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.327 [http-nio-8080-exec-10] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.340 [http-nio-8080-exec-1] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.347 [http-nio-8080-exec-2] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.364 [http-nio-8080-exec-3] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.378 [http-nio-8080-exec-4] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.392 [http-nio-8080-exec-5] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.400 [http-nio-8080-exec-7] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.417 [http-nio-8080-exec-8] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.433 [http-nio-8080-exec-6] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.448 [http-nio-8080-exec-9] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.463 [http-nio-8080-exec-10] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.477 [http-nio-8080-exec-1] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.485 [http-nio-8080-exec-2] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.503 [http-nio-8080-exec-3] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.517 [http-nio-8080-exec-4] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.532 [http-nio-8080-exec-5] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.547 [http-nio-8080-exec-7] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.563 [http-nio-8080-exec-8] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.571 [http-nio-8080-exec-6] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.587 [http-nio-8080-exec-9] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.599 [http-nio-8080-exec-10] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.616 [http-nio-8080-exec-1] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.623 [http-nio-8080-exec-2] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.641 [http-nio-8080-exec-3] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.658 [http-nio-8080-exec-4] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.674 [http-nio-8080-exec-5] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.681 [http-nio-8080-exec-7] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.695 [http-nio-8080-exec-8] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.712 [http-nio-8080-exec-6] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.729 [http-nio-8080-exec-9] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.744 [http-nio-8080-exec-10] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
2026-07-03 10:17:50.750 [http-nio-8080-exec-1] INFO  com.example.interceptor.TokenInterceptor-令牌为空，不放行
